signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,strategy_id,exit_reason
2023-07-16,2023-07-17,BNB-USDT,buy,51.06628445390352,242.42115,12.379547403542414,0.12115000000000001,positive,TrendUp,signal
2023-07-17,2023-07-18,BTC-USDT,buy,0.5868188485835086,30153.079004999996,17.694395102961664,15.069004999999999,positive,TrendUp,signal
2023-07-18,2023-07-19,ETH-USDT,buy,8.291862458889932,1898.1586049999999,15.739270077818382,0.948605,positive,TrendUp,signal
2023-07-18,2023-07-19,BTC-USDT,sell,0.5868188485835086,29844.210430000003,17.513145201416542,14.92957,negative,TrendUp,Close below SMA30
2023-07-18,2023-07-19,BNB-USDT,sell,51.06628445390352,240.17985000000002,12.265092540195882,0.12015,negative,TrendUp,Close below SMA30
2023-07-19,2023-07-20,ETH-USDT,sell,8.291862458889932,1887.6956800000003,15.652512942800707,0.94432,negative,TrendUp,Close below SMA30
2023-07-19,2023-07-20,BTC-USDT,buy,0.6114871969672495,29924.164604999998,18.29824353589803,14.954604999999999,positive,TrendUp,signal
2023-07-20,2023-07-21,ETH-USDT,buy,8.554030722321494,1892.5357949999998,16.188809333523132,0.9457949999999999,positive,TrendUp,signal
2023-07-20,2023-07-21,BTC-USDT,sell,0.6114871969672495,29785.100000000002,18.213207310389226,14.9,negative,Router,StateSwitch
2023-07-21,2023-07-22,ETH-USDT,sell,8.554030722321494,1890.784135,16.173825580068073,0.9458650000000001,negative,Router,StateSwitch
2023-08-01,2023-08-02,ETH-USDT,short,10.95721986153015,1872.5432600000001,20.51786820004642,0.93674,negative,TrendDown,signal
2023-08-01,2023-08-02,BTC-USDT,short,0.7497157564033551,29691.137005000004,22.259913238179227,14.852995000000002,negative,TrendDown,signal
2023-08-02,2023-08-03,BNB-USDT,buy,144.0380229154692,240.82034999999996,34.687287091811314,0.12035,positive,RangeMeanReversion,signal
2023-08-02,2023-08-03,SOL-USDT,buy,303.69123300587614,23.15157,7.030928839321852,0.01157,positive,TrendUp,signal
